,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
CIR,Circor International Inc,"Circor International Inc designs, manufactures and markets engineered products and sub-systems used in the Oil & Gas, power generation, aerospace, defense, and other industrial markets. Its segments are CIRCOR Energy & CIRCOR Aerospace & Defense.",Cyclical,http://www.circor.com,1.0Bil,19.3Mil,0.6Bil,"2,500",Industrials,Diversified Industrials
CIT,CIT Group Inc,"CIT Group Inc is a banking company. It provides financing, leasing & advisory services principally to middle market companies in industries primarily in North America, and equipment financing and leasing solutions to the transportation industry.",Cyclical,http://www.cit.com,8.3Bil,0.4Bil,3.4Bil,"4,650",Financial Services,Banks - Regional - US
C,Citigroup Inc,"Citigroup Inc is a financial services holding company. It provides financial products and services, including consumer banking, credit cards, corporate and investment banking, securities brokerage and wealth management.",Cyclical,http://www.citigroup.com,158.0Bil,14.7Bil,71.3Bil,"231,000",Financial Services,Banks - Global
CFG,Citizens Financial Group Inc,"Citizens Financial Group Inc is a bank holding company. The Company through its subsidiaries, provides retail and commercial banking products and services. Its business segments are Consumer Banking and Commercial Banking.",Cyclical,http://www.citizensbank.com,16.4Bil,1.0Bil,5.1Bil,"17,700",Financial Services,Banks - Regional - US
CIA,Citizens Inc,"Citizens Inc is an insurance holding company serving the life insurance needs of individuals in the United States. It offers life insurance, endowments, as well as a small amount of health insurance policies.",Classic,http://www.citizensinc.com,0.5Bil,-0.3Mil,0.2Bil,625,Financial Services,Insurance - Life
CIO,City Office REIT Inc,"City Office REIT Inc is engaged in managing, operating, owning and acquiring office properties located within a specified target markets, located in metropolitan areas in the Southern and Western United States.",Distressed,http://www.cityofficereit.com,0.3Bil,0.9Mil,68.7Mil,,Real Estate,REIT - Office
CVEO,Civeo Corp,"Civeo Corp is an integrated provider of long-term and temporary remote site accommodations, logistics and facility management services to the natural resource industry.",,http://www.civeo.com,0.2Bil,-91.0Mil,0.4Bil,"1,900",Industrials,Business Services
CIVI,Civitas Solutions Inc,"Civitas Solutions Inc is a provider of home- and community-based health and human services to must-serve individuals with intellectual, developmental, physical or behavioral disabilities and other special needs.",Classic,http://www.civitas-solutions.com,0.7Bil,10.8Mil,1.4Bil,"22,300",Healthcare,Long-Term Care Facilities
CLC,Clarcor Inc,"Clarcor Inc is engaged in manufacturing, marketing and distributing filtration products through its three industry segments: engine & mobile filtration, industrial & environmental filtration and packaging.",Classic,http://www.clarcor.com,3.4Bil,0.1Bil,1.4Bil,"6,093",Industrials,Pollution & Treatment Controls
CWEI,Clayton Williams Energy Inc,Clayton Williams Energy Inc is an oil and gas company. It is engaged in the exploration for and production of oil and natural gas in Texas and New Mexico.,Hard,http://www.claytonwilliams.com,2.0Bil,-312.2Mil,0.2Bil,264,Energy,Oil & Gas E&P
CLH,Clean Harbors Inc,"Clean Harbors Inc, through its subsidiaries, provides environmental, energy and industrial services. It is engaged in Technical Service, Oil Re-refining and Recycling, SK Environmental Services, Industrial and Field Services, Oil and Gas Field Service.",Slow,http://www.cleanharbors.com,2.8Bil,-26.6Mil,2.8Bil,"12,900",Industrials,Waste Management
CCO,Clear Channel Outdoor Holdings Inc,"Clear Channel Outdoor Holdings Inc is engaged in providing advertising opportunities through billboards, street furniture displays, transit displays and other out-of-home advertising displays to its clients.",Cyclical,http://www.clearchanneloutdoor.com,2.1Bil,-1.5Mil,2.7Bil,"6,000",Consumer Cyclical,Marketing Services
