MSFT US Equity,,,ENVA US Equity,,,CL US Equity,
Date,Closing Price,,Date,Closing Price,,Date,Closing Price
1/14/2015,45.955,,2/4/2016,5.46,,1/14/2015,68.45
1/15/2015,45.48,,2/5/2016,6.47,,1/15/2015,68.32
1/16/2015,46.24,,2/8/2016,6.18,,1/16/2015,69.17
1/20/2015,46.39,,2/9/2016,5.8,,1/20/2015,68.96
1/21/2015,45.92,,2/10/2016,5.64,,1/21/2015,68.35
1/22/2015,47.13,,2/11/2016,5.5,,1/22/2015,69.32
1/23/2015,47.18,,2/12/2016,5.98,,1/23/2015,67.14
1/26/2015,47.01,,2/16/2016,6.12,,1/26/2015,66.29
1/27/2015,42.66,,2/17/2016,6.25,,1/27/2015,65.66
1/28/2015,41.19,,2/18/2016,6.57,,1/28/2015,65.12
1/29/2015,42.01,,2/19/2016,6.4,,1/29/2015,69.03
1/30/2015,40.4,,2/22/2016,6.29,,1/30/2015,67.52
2/2/2015,41.28,,2/23/2016,5.73,,2/2/2015,68.99
2/3/2015,41.6,,2/24/2016,5.92,,2/3/2015,69.19
2/4/2015,41.84,,2/25/2016,5.64,,2/4/2015,69.2
2/5/2015,42.45,,2/26/2016,5.54,,2/5/2015,69.79
2/6/2015,42.41,,2/29/2016,5.78,,2/6/2015,69.3
2/9/2015,42.36,,3/1/2016,5.94,,2/9/2015,69.07
2/10/2015,42.6,,3/2/2016,6.17,,2/10/2015,69.44
2/11/2015,42.38,,3/3/2016,6.53,,2/11/2015,69.47
2/12/2015,43.09,,3/4/2016,6.45,,2/12/2015,69.85
2/13/2015,43.87,,3/7/2016,6.63,,2/13/2015,70.08
2/17/2015,43.58,,3/8/2016,6.3,,2/17/2015,70.19
2/18/2015,43.53,,3/9/2016,6.21,,2/18/2015,70.54
2/19/2015,43.5,,3/10/2016,6.04,,2/19/2015,70.21
2/20/2015,43.855,,3/11/2016,6.31,,2/20/2015,70.24
2/23/2015,44.15,,3/14/2016,6.28,,2/23/2015,70.68
2/24/2015,44.09,,3/15/2016,6.06,,2/24/2015,71.01
2/25/2015,43.99,,3/16/2016,6.06,,2/25/2015,71.01
2/26/2015,44.055,,3/17/2016,6.32,,2/26/2015,71.11
2/27/2015,43.85,,3/18/2016,6.66,,2/27/2015,70.82
3/2/2015,43.88,,3/21/2016,6.91,,3/2/2015,71.01
3/3/2015,43.28,,3/22/2016,6.71,,3/3/2015,70.68
3/4/2015,43.055,,3/23/2016,6.1,,3/4/2015,70.68
3/5/2015,43.11,,3/24/2016,6.23,,3/5/2015,71.46
3/6/2015,42.36,,3/28/2016,6.04,,3/6/2015,69.25
3/9/2015,42.85,,3/29/2016,6.15,,3/9/2015,69.59
3/10/2015,42.03,,3/30/2016,6.2,,3/10/2015,68.4
3/11/2015,41.98,,3/31/2016,6.31,,3/11/2015,67.89
3/12/2015,41.02,,4/1/2016,6.04,,3/12/2015,68.53
3/13/2015,41.38,,4/4/2016,5.69,,3/13/2015,68.46
3/16/2015,41.56,,4/5/2016,5.53,,3/16/2015,69.02
3/17/2015,41.695,,4/6/2016,5.8,,3/17/2015,68.41
3/18/2015,42.5,,4/7/2016,5.78,,3/18/2015,68.33
3/19/2015,42.285,,4/8/2016,5.75,,3/19/2015,68.29
3/20/2015,42.88,,4/11/2016,5.77,,3/20/2015,69.56
3/23/2015,42.855,,4/12/2016,5.68,,3/23/2015,70.17
3/24/2015,42.9,,4/13/2016,6.17,,3/24/2015,69.31
3/25/2015,41.46,,4/14/2016,6.05,,3/25/2015,68.89
3/26/2015,41.21,,4/15/2016,6.1,,3/26/2015,68.74
3/27/2015,40.97,,4/18/2016,6.15,,3/27/2015,68.75
3/30/2015,40.96,,4/19/2016,6.18,,3/30/2015,69.29
3/31/2015,40.655,,4/20/2016,6.32,,3/31/2015,69.34
4/1/2015,40.72,,4/21/2016,6.28,,4/1/2015,69.09
4/2/2015,40.29,,4/22/2016,6.48,,4/2/2015,69.33
4/6/2015,41.545,,4/25/2016,6.36,,4/6/2015,69.95
4/7/2015,41.53,,4/26/2016,6.77,,4/7/2015,69.71
4/8/2015,41.42,,4/27/2016,6.96,,4/8/2015,69.9
4/9/2015,41.48,,4/28/2016,7.27,,4/9/2015,69.96
4/10/2015,41.72,,4/29/2016,8.81,,4/10/2015,69.61
4/13/2015,41.76,,5/2/2016,8.36,,4/13/2015,69.31
4/14/2015,41.65,,5/3/2016,8.15,,4/14/2015,69.63
4/15/2015,42.255,,5/4/2016,8.22,,4/15/2015,69.88
4/16/2015,42.16,,5/5/2016,8.02,,4/16/2015,70.08
4/17/2015,41.615,,5/6/2016,8.18,,4/17/2015,69.28
4/20/2015,42.905,,5/9/2016,8.08,,4/20/2015,68.46
4/21/2015,42.635,,5/10/2016,8.33,,4/21/2015,69.01
4/22/2015,42.985,,5/11/2016,7.72,,4/22/2015,69.28
4/23/2015,43.34,,5/12/2016,7.34,,4/23/2015,69.22
4/24/2015,47.87,,5/13/2016,7.23,,4/24/2015,69.17
4/27/2015,48.03,,5/16/2016,7.04,,4/27/2015,68.98
4/28/2015,49.155,,5/17/2016,7.15,,4/28/2015,68.77
4/29/2015,49.06,,5/18/2016,7.08,,4/29/2015,68.51
4/30/2015,48.64,,5/19/2016,6.95,,4/30/2015,67.28
5/1/2015,48.655,,5/20/2016,7.59,,5/1/2015,67.68
5/4/2015,48.24,,5/23/2016,7.5,,5/4/2015,67.86
5/5/2015,47.6,,5/24/2016,7.56,,5/5/2015,67.38
5/6/2015,46.28,,5/25/2016,7.72,,5/6/2015,67.79
5/7/2015,46.7,,5/26/2016,7.32,,5/7/2015,67.88
5/8/2015,47.75,,5/27/2016,7.5,,5/8/2015,68.2
5/11/2015,47.37,,5/31/2016,7.28,,5/11/2015,67.83
5/12/2015,47.35,,6/1/2016,7.24,,5/12/2015,67.88
5/13/2015,47.625,,6/2/2016,7.05,,5/13/2015,67.6
5/14/2015,48.72,,6/3/2016,7.38,,5/14/2015,68.63
5/15/2015,48.295,,6/6/2016,8,,5/15/2015,68.63
5/18/2015,48.01,,6/7/2016,7.51,,5/18/2015,68.61
5/19/2015,47.58,,6/8/2016,7.73,,5/19/2015,69.14
5/20/2015,47.58,,6/9/2016,7.54,,5/20/2015,68.89
5/21/2015,47.42,,6/10/2016,7.52,,5/21/2015,68.82
5/22/2015,46.9,,6/13/2016,7.51,,5/22/2015,68.5
5/26/2015,46.59,,6/14/2016,7.15,,5/26/2015,67.15
5/27/2015,47.61,,6/15/2016,7.03,,5/27/2015,67.54
5/28/2015,47.45,,6/16/2016,7.16,,5/28/2015,67.33
5/29/2015,46.86,,6/17/2016,7.23,,5/29/2015,66.79
6/1/2015,47.23,,6/20/2016,7.18,,6/1/2015,66.9
6/2/2015,46.92,,6/21/2016,7.2,,6/2/2015,66.73
6/3/2015,46.85,,6/22/2016,7.03,,6/3/2015,66.57
6/4/2015,46.36,,6/23/2016,7.38,,6/4/2015,65.92
6/5/2015,46.14,,6/24/2016,7.17,,6/5/2015,65.48
6/8/2015,45.73,,6/27/2016,6.94,,6/8/2015,65.34
6/9/2015,45.65,,6/28/2016,6.78,,6/9/2015,66.03
6/10/2015,46.61,,6/29/2016,7.19,,6/10/2015,67.07
6/11/2015,46.44,,6/30/2016,7.36,,6/11/2015,66.55
6/12/2015,45.97,,7/1/2016,7.39,,6/12/2015,66.29
6/15/2015,45.475,,7/5/2016,6.72,,6/15/2015,65.34
6/16/2015,45.83,,7/6/2016,6.62,,6/16/2015,65.98
6/17/2015,45.97,,7/7/2016,6.76,,6/17/2015,66.41
6/18/2015,46.72,,7/8/2016,7.25,,6/18/2015,67.17
6/19/2015,46.1,,7/11/2016,7.43,,6/19/2015,66.9
6/22/2015,46.23,,7/12/2016,7.97,,6/22/2015,67.24
6/23/2015,45.91,,7/13/2016,8.13,,6/23/2015,67.01
6/24/2015,45.635,,7/14/2016,8.26,,6/24/2015,66.49
6/25/2015,45.65,,7/15/2016,8.4,,6/25/2015,66.46
6/26/2015,45.26,,7/18/2016,8.25,,6/26/2015,66.5
6/29/2015,44.37,,7/19/2016,8.33,,6/29/2015,65.4
6/30/2015,44.15,,7/20/2016,8.19,,6/30/2015,65.41
7/1/2015,44.445,,7/21/2016,8.16,,7/1/2015,66.16
7/2/2015,44.4,,7/22/2016,8.25,,7/2/2015,66.16
7/6/2015,44.39,,7/25/2016,7.98,,7/6/2015,65.96
7/7/2015,44.3,,7/26/2016,8.03,,7/7/2015,67.31
7/8/2015,44.24,,7/27/2016,8.27,,7/8/2015,66.45
7/9/2015,44.52,,7/28/2016,7.86,,7/9/2015,66.17
7/10/2015,44.61,,7/29/2016,9.09,,7/10/2015,66.64
7/13/2015,45.54,,8/1/2016,9.1,,7/13/2015,67.44
7/14/2015,45.62,,8/2/2016,9.02,,7/14/2015,67.27
7/15/2015,45.76,,8/3/2016,9.24,,7/15/2015,66.91
7/16/2015,46.66,,8/4/2016,9.11,,7/16/2015,67.62
7/17/2015,46.62,,8/5/2016,9.15,,7/17/2015,67.5
7/20/2015,46.92,,8/8/2016,9.51,,7/20/2015,67.8
7/21/2015,47.28,,8/9/2016,9.27,,7/21/2015,66.94
7/22/2015,45.54,,8/10/2016,9.2,,7/22/2015,67
7/23/2015,46.11,,8/11/2016,9.37,,7/23/2015,67.04
7/24/2015,45.94,,8/12/2016,9.26,,7/24/2015,67
7/27/2015,45.35,,8/15/2016,9.28,,7/27/2015,67.3
7/28/2015,45.34,,8/16/2016,9.39,,7/28/2015,68.39
7/29/2015,46.29,,8/17/2016,9.43,,7/29/2015,68.93
7/30/2015,46.88,,8/18/2016,9.29,,7/30/2015,68.02
7/31/2015,46.7,,8/19/2016,9.2,,7/31/2015,68.02
8/3/2015,46.81,,8/22/2016,9.39,,8/3/2015,68.42
8/4/2015,47.54,,8/23/2016,9.42,,8/4/2015,68.45
